username,has_shop,num_follower,url,num_follower_1,num_follower_2
@sogastorevn,,0.0,https://www.tiktok.com/@sogastorevn,0.0,0
@bebong_shop1,True,3444.0,https://www.tiktok.com/@bebong_shop1,3444.0,3444
@nguyenkhafishing,True,19126.0,https://www.tiktok.com/@nguyenkhafishing,19.1K,19100
@giadungkaymall123,True,203.0,https://www.tiktok.com/@giadungkaymall123,203.0,203
@sennheiservn,,0.0,https://www.tiktok.com/@sennheiservn,0.0,0
@xuongdobosll,,3143.0,https://www.tiktok.com/@xuongdobosll,3143.0,3143
@maymaygiadinhriccar,,1451.0,https://www.tiktok.com/@maymaygiadinhriccar,1451.0,1451
@aquaphorvietnam?lang=en,True,16.0,https://www.tiktok.com/@aquaphorvietnam?lang=en,16.0,16
@soupcaonangluongsuppro,,8.0,https://www.tiktok.com/@soupcaonangluongsuppro,8.0,8
@sakuzavietnam,,3109.0,https://www.tiktok.com/@sakuzavietnam,3109.0,3109
@greenlife_vn,,10.0,https://www.tiktok.com/@greenlife_vn,10.0,10
@yorokobi_airu_official,True,423.0,https://www.tiktok.com/@yorokobi_airu_official,423.0,423
@dermaestheticsvietnam,,118.0,https://www.tiktok.com/@dermaestheticsvietnam,118.0,118
@originsg_official,True,8.0,https://www.tiktok.com/@originsg_official,8.0,8
@starlord.sg,,37191.0,https://www.tiktok.com/@starlord.sg,37.2K,37200
@limevn_official,,8.0,https://www.tiktok.com/@limevn_official,8.0,8
@rhino.store,True,4613.0,https://www.tiktok.com/@rhino.store,4613.0,4613
@cupnvase,True,32.0,https://www.tiktok.com/@cupnvase,32.0,32
@paynastore,,10289.0,https://www.tiktok.com/@paynastore,10.3K,10300
@truonggiashop,,133.0,https://www.tiktok.com/@truonggiashop,133.0,133
@capuchashop,,5.0,https://www.tiktok.com/@capuchashop,5.0,5
@ht_0390,,3538.0,https://www.tiktok.com/@ht_0390,3538.0,3538
@xuongpoxe,,36970.0,https://www.tiktok.com/@xuongpoxe,37.0K,37000
@mauvechicken,True,1473.0,https://www.tiktok.com/@mauvechicken,1473.0,1473
@maytinhauco.vn,True,708.0,https://www.tiktok.com/@maytinhauco.vn,708.0,708
@thietbiytelongchau,,640.0,https://www.tiktok.com/@thietbiytelongchau,640.0,640
@travelvali,,10425.0,https://www.tiktok.com/@travelvali,10.4K,10400
@reviewdepxinh123,,55012.0,https://www.tiktok.com/@reviewdepxinh123,55.0K,55000
@unisex511t,,63.0,https://www.tiktok.com/@unisex511t,63.0,63
@sivirstore,,7.0,https://www.tiktok.com/@sivirstore,7.0,7
@bebecare.vn,,135.0,https://www.tiktok.com/@bebecare.vn,135.0,135
@cobifood,,58.0,https://www.tiktok.com/@cobifood,58.0,58
@skvsuckhoeviet,,30.0,https://www.tiktok.com/@skvsuckhoeviet,30.0,30
@kamill.vietnam_official,,4.0,https://www.tiktok.com/@kamill.vietnam_official,4.0,4
@costco,,77991.0,https://www.tiktok.com/@costco,78.0K,78000
@dizizidofficial,,159.0,https://www.tiktok.com/@dizizidofficial,159.0,159
@wyrmwooddaily,,66.0,https://www.tiktok.com/@wyrmwooddaily,66.0,66
@namle1205,,0.0,https://www.tiktok.com/@namle1205,0.0,0
@tubevietnam.official,,11176.0,https://www.tiktok.com/@tubevietnam.official,11.2K,11200
@lovida.official,,2.0,https://www.tiktok.com/@lovida.official,2.0,2
@phuonglanninh,,352.0,https://www.tiktok.com/@phuonglanninh,352.0,352
@vanvan.kute,,289.0,https://www.tiktok.com/@vanvan.kute,289.0,289
@giavibep_haiyenfood,True,83.0,https://www.tiktok.com/@giavibep_haiyenfood,83.0,83
@xuongmayjean,,5329.0,https://www.tiktok.com/@xuongmayjean,5329.0,5329
@gemma.vn01,,1329.0,https://www.tiktok.com/@gemma.vn01,1329.0,1329
@dhl.studiosss,True,2.0,https://www.tiktok.com/@dhl.studiosss,2.0,2
@_linhchi.shop_,True,3601.0,https://www.tiktok.com/@_linhchi.shop_,3601.0,3601
@shahara.store,,469.0,https://www.tiktok.com/@shahara.store,469.0,469
@gia_dung_tien_ich_2022,,109.0,https://www.tiktok.com/@gia_dung_tien_ich_2022,109.0,109
@suzuko_bags,True,1667.0,https://www.tiktok.com/@suzuko_bags,1667.0,1667
@nhatlyyshop,True,16853.0,https://www.tiktok.com/@nhatlyyshop,16.9K,16900
@ruocnamhuong_bepgauca,,3018.0,https://www.tiktok.com/@ruocnamhuong_bepgauca,3018.0,3018
@ruych.studio,True,4289.0,https://www.tiktok.com/@ruych.studio,4289.0,4289
